"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"107985433",-0.255673664455125,0.948768113342216,-4.94011000060409,1.90097036951441e-06,0.000683293238375456,4.40898130000148
"101926969",0.285145900322828,1.4036884159631,4.91440570386171,2.1317977096282e-06,0.000752970301455893,4.2991086779404
"8233",0.133469896157159,3.20941336180289,4.91218104809434,2.15300627155085e-06,0.000752970301455893,4.28961940238154
"412",0.154724740582398,2.74934078627589,4.89351484249789,2.33919894412868e-06,0.000807179582320669,4.21012439915856
"1193",0.168919331151369,2.68983861924443,4.8787132429129,2.49784276547813e-06,0.000844540829789692,4.14724793014245
"105371216",0.267430326036986,0.533087366013709,4.87737066547369,2.512737399297e-06,0.000844540829789692,4.14155174551454
"105374848",0.344954713515372,0.609119288453032,4.83908768613171,2.97555927282439e-06,0.00098727530744481,3.97962042747464
"105371206",0.242171316417825,0.522683884140416,4.82234964858157,3.20292009190515e-06,0.00104926040479121,3.90912115012778
"340591",0.16738820254187,2.32814256590929,4.76689291876987,4.08275400420775e-06,0.00132077092036121,3.67685498027285
"4635",-0.363863413612754,3.24574789404651,-4.74559716363646,4.47927972213776e-06,0.00143115752109784,3.58820218839513
"51458",-0.342839299321552,1.14680858211268,-4.72505454540716,4.89691024696479e-06,0.00154551264867621,3.5029696354362
"100885775",0.373487173118275,2.65970867327992,4.69628098669397,5.54566168303204e-06,0.00172917740188999,3.38405881040443
"283848",-0.162576465647309,2.43349411057776,-4.66198110334087,6.42782655384832e-06,0.00198038275254279,3.24303327029677
"100506869",0.196557642143251,0.197884417996671,4.64642913948796,6.8710886386716e-06,0.00209204439963319,3.17935111949123
"79698",0.290320814728449,1.2818883026024,4.61681084555502,7.79823054974907e-06,0.00234672333287798,3.05852163677724
"107986161",-0.24376619143779,0.69964287748524,-4.60948464830564,8.04554689081824e-06,0.00239331900614225,3.02872560451975
"6191",0.144215812670405,4.30745931650519,4.58320001059107,8.99664245102396e-06,0.0026458307571875,2.92212461385607
"10630",0.160608341244019,2.6243518116539,4.58018697101104,9.11235394091527e-06,0.00264974966281896,2.9099348533246
"460",0.1836601610578,1.64727322776981,4.57157841871643,9.4509137613927e-06,0.00271766275716492,2.8751416160581
"222584",-0.270836992394046,0.442779107760329,-4.50230629005507,1.26532893918583e-05,0.00359853988419002,2.59701184250966
"107986160",-0.280511319113378,1.58231803993273,-4.49192754819124,1.32152067232394e-05,0.00371749510866778,2.5556253676731
"100507477",0.182517464273999,3.03126923881568,4.46795015314596,1.46067095808168e-05,0.00406474885969397,2.46029772407674
"256236",0.24032381941834,1.56290207104315,4.41141009943701,1.84683225087149e-05,0.00508468283537811,2.23709292588578
