"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"11051",0.0460532036295968,3.31762359752699,1.65556427990281,0.0997129188775915,0.505877059948422,-5.77286257909334,1.00124857053711,1.00124857053711,"Not Significant","grey80"
"8822",-0.0836617497709854,0.825151047748173,-1.65553748850138,0.0997183566641197,0.505877059948422,-5.77290619333413,1.00122488718376,1.00122488718376,"Not Significant","grey80"
"101927846",0.0700518608906665,0.383042767438879,1.65548538836026,0.0997289319882863,0.505877059948422,-5.7729910062077,1.00117883185791,1.00117883185791,"Not Significant","grey80"
"55281",-0.0565821237090898,2.72648644050907,-1.6548070804621,0.099866697812889,0.506476609719296,-5.77409497574634,1.00057931024533,1.00057931024533,"Not Significant","grey80"
"56112",0.0551398674395805,2.14399598408903,1.65443246177665,0.0999428493184521,0.506763507124126,-5.77470449304578,1.00024827320801,1.00024827320801,"Not Significant","grey80"
"107986475",-0.0793993785168877,1.39624649974014,-1.65427452113183,0.0999749690797302,0.506827071456105,-5.77496142783309,1.00010872151307,1.00010872151307,"Not Significant","grey80"
"64762",0.0465766886555814,2.67910484432623,1.65408768446602,0.100012976034845,0.506887464672797,-5.77526533947808,0.999943649452652,0.999943649452652,"Not Significant","grey80"
"100506679",-0.0786657263503467,1.40615169403193,-1.65398960352954,0.10003293264853,0.506887464672797,-5.77542486628142,0.999856998870428,0.999856998870428,"Not Significant","grey80"
"7352",-0.0684462559953345,1.81824501848939,-1.65392715760184,0.100045640245311,0.506887464672797,-5.77552642864478,0.999801832151795,0.999801832151795,"Not Significant","grey80"
"7867",-0.0451269138536273,3.92106945987766,-1.6530054075942,0.10023336530234,0.507739184581045,-5.77702513599658,0.99898768810274,0.99898768810274,"Not Significant","grey80"
"2571",0.0787276197925254,0.491090535273613,1.65276338373421,0.100282703207615,0.507779217621375,-5.77741851758224,0.998773967769989,0.998773967769989,"Not Significant","grey80"
"50861",-0.086499508148588,2.09111265881799,-1.6525359783864,0.100329078849217,0.507779217621375,-5.77778808771455,0.998573175120676,0.998573175120676,"Not Significant","grey80"
"105378779",-0.07808577384649,0.626224966999529,-1.65248659175384,0.100339152733831,0.507779217621375,-5.77786834240605,0.998529570485619,0.998529570485619,"Not Significant","grey80"
"2159",-0.0734075811138541,2.09490328366956,-1.65219118950951,0.100399425870037,0.507779217621375,-5.77834833107206,0.998268770678926,0.998268770678926,"Not Significant","grey80"
"994",-0.0541217534408967,2.69934716441373,-1.65218917602155,0.100399836797002,0.507779217621375,-5.77835160243271,0.998266993149358,0.998266993149358,"Not Significant","grey80"
"91409",-0.0741756981878582,0.93226301111822,-1.65214045273822,0.100409781004188,0.507779217621375,-5.77843076310668,0.998223980126786,0.998223980126786,"Not Significant","grey80"
"3780",-0.0749728541152608,0.19494674535724,-1.65205382662529,0.100427462968157,0.507779217621375,-5.77857149889743,0.998147508459988,0.998147508459988,"Not Significant","grey80"
"926",-0.0950997972014532,0.822674773353783,-1.65200412753371,0.100437608586593,0.507779217621375,-5.7786522385451,0.998103636361453,0.998103636361453,"Not Significant","grey80"
"54816",0.0516034025292628,3.01694263804384,1.65189840432759,0.100459193761799,0.507779217621375,-5.77882398546782,0.998010311605563,0.998010311605563,"Not Significant","grey80"
"56252",0.0387858560440156,3.07530370987813,1.65182068718433,0.100475063406504,0.507779217621375,-5.77895022987417,0.997941711066892,0.997941711066892,"Not Significant","grey80"
"100526830",-0.0731358154055773,2.43782152553327,-1.65174117531797,0.100491301615899,0.507779217621375,-5.77907938369902,0.997871528529126,0.997871528529126,"Not Significant","grey80"
"100113386",-0.0797055665209319,1.705230858992,-1.65156784442506,0.100526707212387,0.507779217621375,-5.77936091011244,0.997718542680426,0.997718542680426,"Not Significant","grey80"
"389058",-0.0796297905289129,0.374740161695727,-1.65153122961296,0.100534187654536,0.507779217621375,-5.77942037673655,0.997686226950894,0.997686226950894,"Not Significant","grey80"
"107986016",0.0897114493271319,0.7428303501808,1.65151760962738,0.100536970345235,0.507779217621375,-5.77944249681863,0.997674206259041,0.997674206259041,"Not Significant","grey80"
"53345",-0.0713650322748205,1.03747820815682,-1.65145679998949,0.100549395079895,0.507779217621375,-5.77954125498958,0.997620537839532,0.997620537839532,"Not Significant","grey80"
"984",-0.0432024592060012,2.99261389370022,-1.65134383112625,0.100572480359555,0.507779217621375,-5.77972471325285,0.997520838991839,0.997520838991839,"Not Significant","grey80"
"100101478",-0.0566338868410039,0.862085937091493,-1.65133239678001,0.100574817215115,0.507779217621375,-5.77974328163371,0.997510748043693,0.997510748043693,"Not Significant","grey80"
"8209",-0.0669286847101936,3.42274190288996,-1.65115614645555,0.100610843299518,0.507816594100386,-5.78002948105384,0.997355210817152,0.997355210817152,"Not Significant","grey80"
"728798",0.0841187101154986,0.175614572135242,1.65110419533913,0.100621464240602,0.507816594100386,-5.78011383485968,0.9973093671237,0.9973093671237,"Not Significant","grey80"
