"","logFC","AveExpr","t","P.Value","adj.P.Val","B","negLogP","plotNegLogP","Significance","Color"
"521",0.0852929148142165,3.6599825017519,1.661660100491,0.0984791019055676,0.393423970111304,-5.55962989952258,1.00665592067011,1.00665592067011,"Not Significant","grey80"
"1069",0.0437325675461855,3.10410465747422,1.66161808552797,0.0984875447755973,0.393423970111304,-5.55969831417148,1.00661868906842,1.00661868906842,"Not Significant","grey80"
"57171",0.0449315100266829,2.13792991669081,1.66161119605418,0.0984889292649837,0.393423970111304,-5.5597095324183,1.00661258401345,1.00661258401345,"Not Significant","grey80"
"275",0.0475824980996338,3.09026122828692,1.66159188915075,0.0984928092098585,0.393423970111304,-5.5597409699364,1.00659547543615,1.00659547543615,"Not Significant","grey80"
"107987237",-0.0663311426289871,0.242833764489702,-1.66110073011436,0.0985915547099403,0.39363820532648,-5.56054060764741,1.00616028485549,1.00616028485549,"Not Significant","grey80"
"102465863",0.0735248155738374,0.24074042505532,1.66087458312406,0.0986370474414023,0.39363820532648,-5.5609087122846,1.00595993620042,1.00595993620042,"Not Significant","grey80"
"140691",0.0578247100907652,1.96081602916928,1.66086554400348,0.0986388661424379,0.39363820532648,-5.56092342446117,1.00595192861541,1.00595192861541,"Not Significant","grey80"
"23510",0.0458392736934995,3.21700526190951,1.66085969133761,0.0986400437326294,0.39363820532648,-5.56093295028617,1.00594674386533,1.00594674386533,"Not Significant","grey80"
"6730",0.0353353226195588,3.26518034062252,1.66073563167361,0.0986650079187059,0.39363820532648,-5.56113486271149,1.0058368449223,1.0058368449223,"Not Significant","grey80"
"55111",0.0829794090261606,2.87380669563275,1.66072154895349,0.0986678420675492,0.39363820532648,-5.56115778202106,1.00582437000792,1.00582437000792,"Not Significant","grey80"
"221393",-0.153531387950513,1.08798763045074,-1.66070389514483,0.0986713949909654,0.39363820532648,-5.56118651293128,1.00580873180989,1.00580873180989,"Not Significant","grey80"
"107985809",0.0542247490770636,0.08867976872185,1.66045377426883,0.098721744231457,0.39363820532648,-5.56159354352987,1.00558718005916,1.00558718005916,"Not Significant","grey80"
"1856",0.0488552471522884,2.611196525051,1.66043916456249,0.0987246857996643,0.39363820532648,-5.56161731659246,1.0055742397711,1.0055742397711,"Not Significant","grey80"
